# Recorded LOD-differential verdicts — the machine-checkable contract.
# Regenerate with: ... res://Scenes/LodDifferential.tscn -- --record
# Accepting a new exception means re-recording AND writing down the reason
# in docs/lod-differential-baseline.md. An unexplained row here is a bug
# that has been made invisible.
scenario,metric,verdict
aquatic_biome,births.Fish,ok
aquatic_biome,births.Penguin,FAIL
aquatic_biome,births.Shark,below_min_count
aquatic_biome,deaths_environment.Shark,below_min_count
aquatic_biome,deaths_predation.Fish,FAIL
aquatic_biome,deaths_predation.Penguin,ok
aquatic_biome,growth.shroomer_mean_scale,ok
aquatic_biome,kills.Penguin,FAIL
aquatic_biome,kills.Shark,within_noise
aquatic_biome,kills.total,FAIL
aquatic_biome,nutrition.consumed,ok
aquatic_biome,nutrition.corpse_enriched,ok
aquatic_biome,nutrition.regenerated,ok
aquatic_biome,pop.Fish,FAIL
aquatic_biome,pop.Penguin,FAIL
aquatic_biome,pop.Shark,ok
aquatic_biome,pop.corpses,ok
aquatic_biome,pop.crystals,below_min_count
aquatic_biome,pop.nests,below_min_count
aquatic_biome,pop.spores,below_min_count
aquatic_biome,pop.total,ok
aquatic_biome,spacing.Fish,ok
aquatic_biome,spacing.Penguin,ok
aquatic_biome,spacing.Shark,ok
aquatic_biome,terraform.nudges,below_min_count
aquatic_biome,terraform.shifts,below_min_count
crystal_siege,births.Faeling,within_noise
crystal_siege,births.Rabbit,within_noise
crystal_siege,births.Sectid,FAIL
crystal_siege,deaths_predation.Faeling,ok
crystal_siege,deaths_predation.Rabbit,FAIL
crystal_siege,deaths_predation.Sectid,below_min_count
crystal_siege,growth.shroomer_mean_scale,ok
crystal_siege,kills.Sectid,FAIL
crystal_siege,kills.total,FAIL
crystal_siege,nutrition.consumed,FAIL
crystal_siege,nutrition.corpse_enriched,ok
crystal_siege,nutrition.regenerated,FAIL
crystal_siege,pop.Faeling,below_min_count
crystal_siege,pop.Rabbit,below_min_count
crystal_siege,pop.Sectid,FAIL
crystal_siege,pop.corpses,below_min_count
crystal_siege,pop.crystals,below_min_count
crystal_siege,pop.nests,below_min_count
crystal_siege,pop.spores,below_min_count
crystal_siege,pop.total,FAIL
crystal_siege,spacing.Sectid,FAIL
crystal_siege,terraform.nudges,ok
crystal_siege,terraform.shifts,below_min_count
faction_skirmish,births.Deer,within_noise
faction_skirmish,births.Faeling,below_min_count
faction_skirmish,births.Rabbit,within_noise
faction_skirmish,births.Sectid,within_noise
faction_skirmish,births.Shroomer,ok
faction_skirmish,deaths_predation.Rabbit,within_noise
faction_skirmish,growth.shroomer_mean_scale,ok
faction_skirmish,kills.Sectid,within_noise
faction_skirmish,kills.total,within_noise
faction_skirmish,nutrition.consumed,ok
faction_skirmish,nutrition.corpse_enriched,within_noise
faction_skirmish,nutrition.regenerated,ok
faction_skirmish,pop.Deer,ok
faction_skirmish,pop.Faeling,below_min_count
faction_skirmish,pop.Rabbit,within_noise
faction_skirmish,pop.Sectid,FAIL
faction_skirmish,pop.Shroomer,ok
faction_skirmish,pop.corpses,below_min_count
faction_skirmish,pop.crystals,below_min_count
faction_skirmish,pop.nests,below_min_count
faction_skirmish,pop.spores,below_min_count
faction_skirmish,pop.total,within_noise
faction_skirmish,spacing.Deer,FAIL
faction_skirmish,spacing.Rabbit,ok
faction_skirmish,spacing.Sectid,FAIL
faction_skirmish,spacing.Shroomer,ok
faction_skirmish,terraform.nudges,ok
faction_skirmish,terraform.shifts,ok
freshwater_pond,births.Crocodile,below_min_count
freshwater_pond,births.Deer,ok
freshwater_pond,births.Fish,FAIL
freshwater_pond,births.Otter,FAIL
freshwater_pond,births.Rabbit,FAIL
freshwater_pond,deaths_environment.Fish,FAIL
freshwater_pond,deaths_predation.Fish,FAIL
freshwater_pond,deaths_predation.Otter,below_min_count
freshwater_pond,growth.shroomer_mean_scale,ok
freshwater_pond,kills.Crocodile,within_noise
freshwater_pond,kills.Otter,FAIL
freshwater_pond,kills.total,FAIL
freshwater_pond,nutrition.consumed,ok
freshwater_pond,nutrition.corpse_enriched,FAIL
freshwater_pond,nutrition.regenerated,ok
freshwater_pond,pop.Crocodile,FAIL
freshwater_pond,pop.Deer,ok
freshwater_pond,pop.Fish,FAIL
freshwater_pond,pop.Otter,FAIL
freshwater_pond,pop.Rabbit,FAIL
freshwater_pond,pop.corpses,FAIL
freshwater_pond,pop.crystals,below_min_count
freshwater_pond,pop.nests,below_min_count
freshwater_pond,pop.spores,below_min_count
freshwater_pond,pop.total,FAIL
freshwater_pond,spacing.Deer,FAIL
freshwater_pond,spacing.Fish,ok
freshwater_pond,spacing.Otter,FAIL
freshwater_pond,spacing.Rabbit,ok
freshwater_pond,terraform.nudges,below_min_count
freshwater_pond,terraform.shifts,below_min_count
grazing_depletion,births.Deer,FAIL
grazing_depletion,births.Rabbit,ok
grazing_depletion,growth.shroomer_mean_scale,ok
grazing_depletion,kills.total,below_min_count
grazing_depletion,nutrition.consumed,FAIL
grazing_depletion,nutrition.corpse_enriched,ok
grazing_depletion,nutrition.regenerated,FAIL
grazing_depletion,pop.Deer,ok
grazing_depletion,pop.Rabbit,ok
grazing_depletion,pop.corpses,below_min_count
grazing_depletion,pop.crystals,below_min_count
grazing_depletion,pop.nests,below_min_count
grazing_depletion,pop.spores,below_min_count
grazing_depletion,pop.total,ok
grazing_depletion,spacing.Deer,FAIL
grazing_depletion,spacing.Rabbit,ok
grazing_depletion,terraform.nudges,below_min_count
grazing_depletion,terraform.shifts,below_min_count
heart_drying,births.Shroomer,within_noise
heart_drying,growth.shroomer_mean_scale,ok
heart_drying,kills.total,below_min_count
heart_drying,nutrition.consumed,FAIL
heart_drying,nutrition.corpse_enriched,ok
heart_drying,nutrition.regenerated,FAIL
heart_drying,pop.Shroomer,within_noise
heart_drying,pop.corpses,below_min_count
heart_drying,pop.crystals,below_min_count
heart_drying,pop.nests,ok
