# LOD divergence curve — how fast two tiers of the same scenario come apart.
# The rate is the reading. Flatness is NOT the target: a coarser decision cadence
# genuinely changes behaviour, and this measures what that costs. A gate built on this
# file asserts the curve has not worsened beyond a stated tolerance, never that it is flat.
# 'state' (count/hunger/age) is the reading; 'position' (centroid/dispersion) is diagnostic.
# pair=fidelity scenario=predator_prey ticks=3000 sample=5 quantum=16
# a_tier=Full a_seed=42 b_tier=Minimal b_seed=42
# onset_tick=5 onset=3 species differ (Deer, Rabbit, Wolf); largest component centroid=0.064884
# divergence_final=0.178047 divergence_mean=0.179744 state_mean=0.066434 position_mean=0.463019 samples=601
# window_growth=0..300 n=61 divergence=0.081780 state=0.016035 position=0.246141
# window_plateau=1800..3000 n=241 divergence=0.208723 state=0.090226 position=0.504965
# component_count kind=State mean=0.099558 growth=0.000000 plateau=0.155133
# component_hunger_mean kind=State mean=0.200543 growth=0.065784 plateau=0.260275
# component_hunger_spread kind=State mean=0.025148 growth=0.013864 plateau=0.023950
# component_age_mean kind=State mean=0.005142 growth=0.000460 plateau=0.008488
# component_age_spread kind=State mean=0.001778 growth=0.000070 plateau=0.003285
# component_centroid kind=Position mean=0.604862 growth=0.325885 plateau=0.643316
# component_dispersion kind=Position mean=0.321175 growth=0.166396 plateau=0.366613
# ceiling_plateau divergence=0.190178 state=0.080610 position=0.464099
# ceiling_fraction divergence=1.0975 state=1.1193 position=1.0881
sample_tick,divergence,state,position,count,hunger_mean,hunger_spread,age_mean,age_spread,centroid,dispersion,species_compared,checksums_differ,population_a,population_b
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0,45,45
5,0.014189,0.000727,0.047845,0.000000,0.002313,0.001110,0.000193,0.000017,0.064884,0.030806,3,1,47,47
10,0.010477,0.000639,0.035072,0.000000,0.002122,0.000698,0.000331,0.000041,0.059990,0.010154,3,1,47,47
15,0.013596,0.001163,0.044678,0.000000,0.004061,0.001263,0.000454,0.000036,0.067808,0.021548,3,1,47,47
20,0.016926,0.002039,0.054145,0.000000,0.008850,0.000722,0.000555,0.000068,0.086388,0.021901,3,1,47,47
25,0.018823,0.003171,0.057954,0.000000,0.012846,0.002444,0.000450,0.000115,0.099297,0.016611,3,1,47,47
30,0.025918,0.003953,0.080832,0.000000,0.016406,0.002869,0.000417,0.000072,0.102586,0.059078,3,1,47,47
35,0.031462,0.004590,0.098640,0.000000,0.020623,0.001814,0.000473,0.000041,0.096229,0.101050,3,1,47,47
40,0.035774,0.005902,0.110454,0.000000,0.024242,0.004646,0.000554,0.000068,0.083536,0.137371,3,1,47,47
45,0.037725,0.006137,0.116697,0.000000,0.025269,0.004851,0.000450,0.000115,0.079479,0.153915,3,1,47,47
50,0.036253,0.007384,0.108426,0.000000,0.029259,0.007172,0.000417,0.000072,0.080962,0.135890,3,1,47,47
55,0.039566,0.007997,0.118489,0.000000,0.031991,0.007482,0.000473,0.000041,0.101129,0.135849,3,1,47,47
60,0.043688,0.009388,0.129437,0.000000,0.036676,0.009640,0.000555,0.000069,0.120724,0.138150,3,1,47,47
65,0.050687,0.010186,0.151939,0.000000,0.039197,0.011170,0.000450,0.000115,0.160729,0.143148,3,1,47,47
70,0.052711,0.010349,0.158615,0.000000,0.040977,0.010280,0.000417,0.000071,0.195321,0.121909,3,1,47,47
75,0.063155,0.010836,0.193952,0.000000,0.044436,0.009232,0.000474,0.000040,0.243416,0.144488,3,1,47,47
80,0.073138,0.011696,0.226742,0.000000,0.046660,0.011196,0.000555,0.000068,0.286301,0.167183,3,1,47,47
85,0.072005,0.012000,0.222016,0.000000,0.047056,0.012381,0.000449,0.000115,0.290615,0.153416,3,1,47,47
90,0.059326,0.012594,0.176156,0.000000,0.050429,0.012056,0.000417,0.000071,0.250673,0.101638,3,1,47,47
95,0.052052,0.013346,0.148817,0.000000,0.054512,0.011706,0.000473,0.000040,0.206421,0.091213,3,1,47,47
100,0.052130,0.014428,0.146387,0.000000,0.057618,0.013897,0.000554,0.000069,0.167823,0.124950,3,1,47,47
105,0.051854,0.014823,0.144432,0.000000,0.059277,0.014272,0.000450,0.000115,0.158056,0.130808,3,1,47,47
110,0.050566,0.014990,0.139503,0.000000,0.060520,0.013944,0.000417,0.000071,0.171060,0.107947,3,1,47,47
115,0.057518,0.015474,0.162629,0.000000,0.062376,0.014481,0.000473,0.000039,0.183621,0.141637,3,1,47,47
120,0.062965,0.016523,0.179069,0.000000,0.065331,0.016661,0.000554,0.000068,0.207161,0.150977,3,1,47,47
125,0.068741,0.016784,0.198632,0.000000,0.066130,0.017224,0.000450,0.000116,0.220593,0.176671,3,1,47,47
130,0.077192,0.016931,0.227846,0.000000,0.067698,0.016469,0.000417,0.000071,0.234053,0.221639,3,1,47,47
135,0.087594,0.017397,0.263088,0.000000,0.069783,0.016686,0.000474,0.000040,0.279223,0.246952,3,1,47,47
140,0.101335,0.018161,0.309269,0.000000,0.071561,0.018623,0.000554,0.000069,0.346708,0.271831,3,1,47,47
145,0.104458,0.018683,0.318897,0.000000,0.074103,0.018747,0.000450,0.000116,0.409946,0.227848,3,1,47,47
150,0.100841,0.018444,0.306835,0.000000,0.074096,0.017634,0.000417,0.000071,0.419694,0.193976,3,1,47,47
155,0.101667,0.018962,0.308429,0.000000,0.077093,0.017206,0.000473,0.000039,0.424016,0.192841,3,1,47,47
160,0.100116,0.018750,0.303530,0.000000,0.076748,0.016379,0.000554,0.000069,0.428590,0.178470,3,1,47,47
165,0.099770,0.018918,0.301901,0.000000,0.077308,0.016717,0.000449,0.000116,0.433247,0.170554,3,1,47,47
170,0.100036,0.019282,0.301920,0.000000,0.079015,0.016907,0.000417,0.000071,0.437959,0.165881,3,1,47,47
175,0.098610,0.019727,0.295819,0.000000,0.080590,0.017531,0.000473,0.000039,0.443014,0.148624,3,1,47,47
180,0.102587,0.020588,0.307583,0.000000,0.082921,0.019396,0.000554,0.000069,0.447679,0.167487,3,1,47,47
185,0.110864,0.020713,0.336242,0.000000,0.083902,0.019097,0.000450,0.000115,0.451927,0.220556,3,1,47,47
190,0.110391,0.021297,0.333124,0.000000,0.085776,0.020223,0.000417,0.000070,0.455583,0.210665,3,1,47,47
195,0.106948,0.021480,0.320617,0.000000,0.086583,0.020304,0.000473,0.000039,0.458462,0.182772,3,1,47,47
200,0.109521,0.021543,0.329464,0.000000,0.087768,0.019325,0.000554,0.000069,0.461360,0.197569,3,1,47,47
205,0.104108,0.021562,0.310474,0.000000,0.088580,0.018665,0.000450,0.000116,0.464057,0.156891,3,1,47,47
210,0.110603,0.021901,0.332356,0.000000,0.090534,0.018486,0.000417,0.000070,0.466432,0.198280,3,1,47,47
215,0.118588,0.022155,0.359670,0.000000,0.091716,0.018547,0.000473,0.000038,0.468712,0.250628,3,1,47,47
220,0.126460,0.022014,0.387575,0.000000,0.091625,0.017822,0.000554,0.000069,0.471660,0.303490,3,1,47,47
225,0.128834,0.021848,0.396301,0.000000,0.091566,0.017106,0.000450,0.000116,0.474700,0.317902,3,1,47,47
230,0.128223,0.022932,0.391451,0.000000,0.094963,0.019210,0.000417,0.000070,0.478269,0.304633,3,1,47,47
235,0.119915,0.023017,0.362158,0.000000,0.095693,0.018882,0.000474,0.000038,0.481960,0.242355,3,1,47,47
240,0.110941,0.022922,0.330988,0.000000,0.096125,0.017863,0.000554,0.000069,0.485659,0.176318,3,1,47,47
245,0.110291,0.022744,0.329158,0.000000,0.095369,0.017783,0.000450,0.000117,0.489736,0.168580,3,1,47,47
250,0.115990,0.023250,0.347842,0.000000,0.097063,0.018701,0.000417,0.000070,0.493833,0.201851,3,1,47,47
255,0.117344,0.023492,0.351973,0.000000,0.097382,0.019569,0.000473,0.000038,0.498160,0.205787,3,1,47,47
260,0.111708,0.023431,0.332399,0.000000,0.097878,0.018654,0.000554,0.000069,0.502487,0.162312,3,1,47,47
265,0.114543,0.023300,0.342652,0.000000,0.097879,0.018052,0.000450,0.000117,0.506852,0.178453,3,1,47,47
270,0.114193,0.023562,0.340772,0.000000,0.099097,0.018225,0.000417,0.000070,0.511230,0.170313,3,1,47,47
275,0.121127,0.023720,0.364642,0.000000,0.100118,0.017973,0.000473,0.000038,0.515465,0.213819,3,1,47,47
280,0.125496,0.023582,0.380279,0.000000,0.099829,0.017459,0.000554,0.000069,0.519980,0.240579,3,1,47,47
285,0.128043,0.023450,0.389528,0.000000,0.099617,0.017065,0.000450,0.000116,0.525081,0.253974,3,1,47,47
290,0.125873,0.023597,0.381563,0.000000,0.100691,0.016806,0.000417,0.000070,0.530680,0.232446,3,1,47,47
295,0.126983,0.023980,0.384491,0.000000,0.101704,0.017683,0.000474,0.000037,0.536378,0.232605,3,1,47,47
300,0.126135,0.023709,0.382198,0.000000,0.101243,0.016681,0.000554,0.000070,0.541402,0.222995,3,1,47,47
305,0.128177,0.023330,0.390293,0.000000,0.100083,0.015999,0.000450,0.000117,0.545740,0.234847,3,1,47,47
310,0.129773,0.023711,0.394927,0.000000,0.101708,0.016360,0.000417,0.000070,0.550003,0.239850,3,1,47,47
315,0.135957,0.023916,0.416059,0.000000,0.102394,0.016675,0.000473,0.000038,0.554418,0.277700,3,1,47,47
320,0.137753,0.024797,0.420142,0.000000,0.104052,0.019309,0.000554,0.000070,0.558564,0.281719,3,1,47,47
325,0.138258,0.024675,0.422215,0.000000,0.104116,0.018690,0.000450,0.000117,0.562778,0.281652,3,1,47,47
330,0.138478,0.024588,0.423205,0.000000,0.104151,0.018301,0.000417,0.000070,0.566969,0.279440,3,1,47,47
335,0.138633,0.024763,0.423309,0.000000,0.104799,0.018507,0.000473,0.000037,0.571172,0.275445,3,1,47,47
340,0.131513,0.025453,0.396664,0.000000,0.106294,0.020348,0.000554,0.000070,0.576004,0.217323,3,1,47,47
345,0.133618,0.025809,0.403139,0.000000,0.106360,0.022120,0.000450,0.000117,0.581314,0.224965,3,1,47,47
350,0.135254,0.026176,0.407946,0.000000,0.107479,0.022917,0.000417,0.000069,0.586384,0.229508,3,1,47,47
355,0.143508,0.026228,0.436706,0.000000,0.107529,0.023102,0.000474,0.000037,0.591462,0.281950,3,1,47,47
360,0.153423,0.026169,0.471556,0.000000,0.107809,0.022414,0.000554,0.000070,0.596073,0.347038,3,1,47,47
365,0.156787,0.026412,0.482727,0.000000,0.107272,0.024219,0.000450,0.000118,0.600615,0.364838,3,1,47,47
370,0.155038,0.026601,0.476131,0.000000,0.107400,0.025118,0.000417,0.000070,0.605083,0.347178,3,1,47,47
375,0.153978,0.026706,0.472158,0.000000,0.108039,0.024980,0.000473,0.000037,0.609076,0.335240,3,1,47,47
380,0.149554,0.026475,0.457252,0.000000,0.107611,0.024138,0.000554,0.000070,0.612547,0.301956,3,1,47,47
385,0.144527,0.026762,0.438939,0.000000,0.108174,0.025066,0.000450,0.000118,0.615650,0.262228,3,1,47,47
390,0.145781,0.027004,0.442723,0.000000,0.109207,0.025326,0.000417,0.000069,0.618615,0.266831,3,1,47,47
395,0.154452,0.027010,0.473057,0.000000,0.108875,0.025666,0.000473,0.000036,0.621805,0.324310,3,1,47,47
400,0.161500,0.026960,0.497851,0.000000,0.109142,0.025035,0.000554,0.000069,0.625533,0.370168,3,1,47,47
405,0.163846,0.027572,0.504529,0.000000,0.111425,0.025870,0.000450,0.000118,0.630375,0.378682,3,1,47,47
410,0.159209,0.027550,0.488356,0.000000,0.111873,0.025389,0.000417,0.000069,0.635343,0.341369,3,1,47,47
415,0.153230,0.027734,0.466970,0.000000,0.112625,0.025535,0.000473,0.000036,0.640213,0.293727,3,1,47,47
420,0.153857,0.027680,0.469300,0.000000,0.113035,0.024743,0.000554,0.000070,0.645070,0.293530,3,1,47,47
425,0.155169,0.028129,0.472768,0.000000,0.114133,0.025943,0.000450,0.000118,0.649769,0.295767,3,1,47,47
430,0.165043,0.028304,0.506890,0.000000,0.114354,0.026680,0.000417,0.000069,0.653903,0.359876,3,1,47,47
435,0.165186,0.028434,0.507066,0.000000,0.115159,0.026503,0.000473,0.000036,0.657689,0.356443,3,1,47,47
440,0.164304,0.028284,0.504353,0.000000,0.115196,0.025600,0.000554,0.000070,0.661199,0.347507,3,1,47,47
445,0.162849,0.028563,0.498563,0.000000,0.116200,0.026047,0.000450,0.000118,0.665102,0.332025,3,1,47,47
450,0.161086,0.028789,0.491828,0.000000,0.117315,0.026144,0.000417,0.000069,0.669838,0.313817,3,1,47,47
455,0.160311,0.028923,0.488781,0.000000,0.117864,0.026242,0.000473,0.000036,0.674321,0.303241,3,1,47,47
460,0.161598,0.028809,0.493572,0.000000,0.118388,0.025033,0.000554,0.000070,0.677992,0.309151,3,1,47,47
465,0.165407,0.028980,0.506476,0.000000,0.119476,0.024853,0.000450,0.000118,0.681212,0.331740,3,1,47,47
470,0.168779,0.029059,0.518080,0.000000,0.119545,0.025263,0.000417,0.000069,0.684167,0.351993,3,1,47,47
475,0.173384,0.029100,0.534095,0.000000,0.120138,0.024851,0.000474,0.000036,0.686433,0.381756,3,1,47,47
480,0.177285,0.029124,0.547688,0.000000,0.121084,0.023913,0.000554,0.000070,0.688310,0.407066,3,1,47,47
485,0.179580,0.029395,0.555044,0.000000,0.122203,0.024203,0.000450,0.000119,0.688592,0.421496,3,1,47,47
490,0.180418,0.029327,0.558147,0.000000,0.122300,0.023851,0.000417,0.000068,0.687746,0.428548,3,1,47,47
495,0.177749,0.029255,0.548983,0.000000,0.122364,0.023402,0.000473,0.000036,0.686400,0.411566,3,1,47,47
500,0.174533,0.029265,0.537702,0.000000,0.123154,0.022548,0.000554,0.000070,0.684851,0.390553,3,1,47,47
505,0.174948,0.029396,0.538825,0.000000,0.124193,0.022220,0.000450,0.000119,0.682855,0.394795,3,1,47,47
510,0.174799,0.029420,0.538245,0.000000,0.125103,0.021513,0.000417,0.000068,0.680147,0.396342,3,1,47,47
515,0.175837,0.029543,0.541571,0.000000,0.125380,0.021826,0.000473,0.000036,0.676387,0.406756,3,1,47,47
520,0.176888,0.029546,0.545245,0.000000,0.125455,0.021650,0.000554,0.000070,0.672155,0.418335,3,1,47,47
525,0.178412,0.029322,0.551137,0.000000,0.125040,0.021001,0.000450,0.000119,0.667626,0.434648,3,1,47,47
530,0.177600,0.029184,0.548639,0.000000,0.125262,0.020174,0.000417,0.000068,0.662518,0.434761,3,1,47,47
535,0.176933,0.029161,0.546366,0.000000,0.125566,0.019726,0.000474,0.000037,0.657610,0.435121,3,1,47,47
540,0.177671,0.028950,0.549474,0.000000,0.125255,0.018870,0.000554,0.000070,0.653120,0.445829,3,1,47,47
545,0.176274,0.028806,0.544945,0.000000,0.125521,0.017940,0.000450,0.000118,0.648915,0.440974,3,1,47,47
550,0.175940,0.028642,0.544184,0.000000,0.125188,0.017539,0.000417,0.000068,0.644820,0.443547,3,1,47,47
555,0.175378,0.028947,0.541455,0.000000,0.126662,0.017561,0.000473,0.000038,0.640733,0.442177,3,1,47,47
560,0.175591,0.028713,0.542784,0.000000,0.127123,0.015818,0.000554,0.000070,0.636332,0.449236,3,1,47,47
