tick,total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf
100,567,6,2,9,21,4,49,45,0,37,9,24,5,3,30,32,30,17,26,3,52,5,30,4,55,5,23,20,12
200,569,6,2,11,21,4,49,45,0,31,9,25,5,3,28,34,32,19,26,3,56,5,28,4,53,5,24,20,12
300,577,6,2,11,21,4,49,47,0,31,9,27,5,4,32,35,33,20,26,3,55,5,26,4,51,5,25,20,12
400,573,6,2,11,21,4,49,48,0,28,9,27,6,4,34,35,33,20,26,3,54,5,20,4,52,5,26,20,12
500,583,6,2,11,22,4,49,48,2,26,9,27,6,4,36,35,33,20,27,3,57,5,19,4,52,5,29,21,12
600,592,6,2,11,20,4,49,49,2,28,9,29,6,4,38,35,33,21,28,3,58,5,18,4,54,5,29,21,12
700,600,6,2,11,20,4,49,50,2,32,9,31,6,4,38,36,33,21,28,3,59,5,17,4,53,5,30,21,12
800,607,7,2,11,20,4,49,55,2,32,9,30,6,4,37,38,33,21,28,3,58,5,15,4,54,5,31,21,14
900,623,7,2,13,19,4,49,57,2,31,9,31,6,4,47,39,33,23,31,3,56,5,15,4,52,5,32,21,14
1000,644,7,2,13,19,4,49,58,2,44,9,34,6,4,49,40,33,23,31,3,57,5,14,4,52,5,33,21,14
1100,659,7,2,13,19,4,49,58,2,46,8,36,6,4,53,40,34,22,31,3,65,5,14,4,51,5,34,21,14
1200,668,7,2,13,21,4,49,58,2,44,8,39,6,4,53,41,35,22,32,3,67,5,14,3,51,5,36,21,14
1300,678,7,2,13,20,4,50,58,2,50,8,39,7,4,53,42,35,22,32,3,68,5,14,3,50,5,38,21,14
1400,693,7,2,15,20,4,50,59,2,54,8,43,7,4,54,43,35,25,32,3,67,5,14,3,51,5,37,21,14
1500,692,7,2,15,20,4,50,60,2,50,8,43,7,5,56,44,35,25,32,3,67,5,14,3,49,5,37,21,14
1600,686,7,2,15,22,4,50,60,2,47,8,41,7,5,56,43,35,24,33,3,65,5,14,3,49,5,37,21,14
1700,698,7,2,17,22,4,50,61,2,51,8,41,7,5,58,43,35,24,33,3,68,5,15,3,47,5,37,21,15
1800,702,7,2,19,21,4,51,60,2,53,8,42,7,5,58,44,35,24,33,3,71,5,13,2,47,5,36,21,15
1900,709,8,2,19,19,4,51,65,2,53,8,42,7,5,58,44,35,24,35,3,68,5,13,2,48,5,37,22,16
2000,714,8,2,19,20,4,52,64,2,57,8,42,7,5,57,45,35,21,36,3,69,5,14,2,48,5,37,22,16
2100,720,8,2,19,20,4,53,64,2,56,8,44,7,5,60,48,35,22,36,3,67,5,14,2,47,5,37,22,16
2200,727,8,2,19,21,4,53,63,2,56,8,43,7,5,63,48,36,22,37,3,71,5,13,2,47,5,37,22,16
2300,738,8,2,19,22,4,53,65,2,58,8,41,8,6,66,47,36,23,39,3,70,5,13,2,48,5,37,22,17
2400,755,8,2,23,22,4,54,64,2,66,8,45,7,6,66,48,36,24,42,3,67,5,12,1,49,5,37,23,17
2500,757,8,2,23,21,4,57,64,2,65,8,45,7,6,68,47,40,24,42,3,65,5,11,1,48,5,37,23,17
2600,767,8,2,23,22,4,57,67,2,62,8,45,6,7,67,48,40,24,42,3,70,5,9,1,50,5,41,23,17
2700,770,8,2,25,23,4,58,68,2,64,8,45,6,7,65,49,41,24,41,3,68,5,9,1,49,5,41,23,17
2800,774,8,2,25,24,4,58,69,2,64,8,47,7,7,66,48,41,24,41,3,67,5,9,1,48,5,40,23,19
2900,777,8,2,29,24,4,58,68,2,63,8,47,7,7,68,48,41,24,42,3,64,5,8,1,50,5,40,23,19
3000,789,8,2,29,24,4,60,68,2,63,8,47,7,7,65,50,41,25,42,3,73,5,8,1,52,5,39,23,19
3100,787,8,2,29,25,4,61,68,2,63,8,46,7,7,68,50,39,25,42,3,70,5,7,1,52,5,39,23,19
3200,798,8,2,31,26,4,61,68,2,63,8,44,7,7,68,53,39,27,41,3,75,5,6,1,52,5,41,23,19
3300,814,8,2,35,25,4,63,68,2,63,8,44,7,7,76,53,39,27,40,3,76,5,6,1,55,5,41,23,19
3400,827,8,2,39,24,4,64,72,2,63,8,44,8,7,75,55,39,28,40,3,81,5,5,1,53,5,41,23,19
3500,830,8,3,41,25,4,65,73,2,62,8,46,7,7,74,56,39,28,40,3,80,5,6,1,50,5,41,23,19
3600,831,7,3,41,25,4,63,72,2,62,8,51,7,7,77,56,40,29,42,4,76,5,5,1,49,5,39,23,19
3700,839,7,3,41,25,4,64,72,2,62,7,51,7,7,76,57,39,35,45,4,75,5,5,1,50,5,39,23,19
3800,833,6,3,43,25,4,64,71,2,61,4,52,7,7,75,57,41,34,46,4,74,5,4,1,48,5,39,24,18
3900,834,5,3,45,25,4,67,71,2,59,4,51,7,7,74,58,41,34,45,4,75,5,4,1,47,5,39,25,18
4000,834,5,3,45,24,4,67,71,2,59,4,49,7,7,73,59,42,34,45,4,75,5,5,1,47,5,39,26,18
4100,838,4,3,43,25,5,67,72,2,58,4,53,7,7,75,60,42,34,44,4,74,5,3,1,47,5,40,27,18
4200,844,5,3,47,25,5,67,72,2,58,4,51,7,7,79,62,42,34,41,4,77,5,3,1,45,5,40,26,18
4300,854,5,3,47,29,5,68,71,2,58,3,51,7,8,79,66,42,33,45,4,78,5,2,1,43,5,40,27,18
4400,855,5,3,46,28,5,68,71,2,58,3,51,7,8,78,69,41,33,44,4,83,5,2,1,41,5,40,26,19
4500,868,5,3,46,28,5,69,71,2,60,2,50,7,8,82,69,42,34,44,4,86,5,2,1,45,5,40,25,19
4600,871,5,3,46,28,5,69,72,2,60,2,49,8,9,85,70,41,34,44,4,85,5,2,1,45,5,40,25,18
4700,874,5,3,46,30,5,68,72,2,60,2,49,8,9,87,71,42,34,41,4,85,5,2,1,47,5,40,24,18
4800,875,5,3,46,30,5,68,71,2,60,2,49,7,9,86,71,42,34,43,4,85,5,2,1,47,5,39,24,21
4900,906,5,3,46,30,5,67,71,2,89,2,48,7,9,88,72,43,35,45,4,85,4,2,1,47,4,39,24,20
5000,911,5,3,46,30,5,68,71,2,89,1,48,7,9,87,75,44,36,43,4,85,4,2,1,46,4,43,24,20
5100,917,6,3,46,31,5,71,71,2,89,1,48,7,9,88,75,44,36,43,4,85,3,2,1,48,4,43,24,19
5200,917,6,3,46,31,5,72,71,2,89,1,46,7,9,90,76,44,36,43,4,85,3,2,1,48,4,41,24,19
5300,933,6,3,46,32,5,73,71,2,89,1,53,7,10,92,76,43,36,44,4,84,3,2,1,53,4,42,23,19
5400,940,6,3,50,32,5,73,75,2,88,1,52,7,10,92,76,43,35,47,5,86,3,1,1,53,3,41,24,17
5500,957,6,3,57,32,5,73,74,2,88,1,52,7,10,94,79,47,36,48,5,85,3,1,1,53,3,41,24,18
5600,962,6,3,57,32,5,73,74,2,88,1,52,7,10,97,79,47,38,47,5,85,3,1,1,55,3,41,24,17
5700,968,6,3,64,33,5,73,72,2,88,1,52,7,10,97,78,47,39,48,5,85,3,1,1,54,3,41,23,18
