tick,entity_total,Arctic Fox,Bear,Boar,Camel,Crocodile,Deer,Elk,Faeling,Fish,Fox,Frog,Hawk,Jaguar,Lizard,Monkey,Musk Ox,Parrot,Penguin,Polar Bear,Rabbit,Scorpion,Sectid,Shark,Shroomer,Snake,Tapir,Turtle,Wolf,stat_total,stat_Arctic Fox,stat_Bear,stat_Boar,stat_Camel,stat_Crocodile,stat_Deer,stat_Elk,stat_Faeling,stat_Fish,stat_Fox,stat_Frog,stat_Hawk,stat_Jaguar,stat_Lizard,stat_Monkey,stat_Musk Ox,stat_Parrot,stat_Penguin,stat_Polar Bear,stat_Rabbit,stat_Scorpion,stat_Sectid,stat_Shark,stat_Shroomer,stat_Snake,stat_Tapir,stat_Turtle,stat_Wolf
100,1148,12,4,18,42,9,106,92,0,67,18,59,13,6,75,59,60,42,52,5,98,9,59,7,116,10,53,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1168,13,4,20,43,9,108,97,0,70,18,63,13,7,81,61,61,42,50,5,93,9,55,7,115,10,56,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1176,13,4,22,43,9,110,98,0,65,18,63,13,7,82,66,62,45,50,5,93,9,52,7,114,10,58,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1182,13,4,22,45,9,110,99,0,63,18,62,13,7,83,68,65,45,48,5,96,9,48,7,116,10,59,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1193,13,4,26,47,9,111,101,4,65,18,59,13,7,85,68,65,48,47,5,96,9,43,7,115,10,59,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1220,13,4,26,49,9,115,102,4,67,18,56,13,7,85,73,66,52,47,5,105,9,41,7,118,10,60,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,1286,14,4,26,51,9,125,107,4,81,18,54,13,7,98,78,67,55,52,5,110,9,40,7,116,10,66,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,1327,15,4,28,53,10,129,112,4,87,18,55,13,7,102,82,68,57,51,5,111,9,40,5,120,10,71,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1376,15,4,30,54,10,132,116,4,87,17,68,14,7,119,87,68,59,53,5,112,9,38,5,119,10,73,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,1392,15,4,30,56,10,135,119,4,87,17,70,14,7,120,91,69,59,53,5,110,9,38,5,120,10,73,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,1440,15,4,33,60,10,135,124,4,93,17,73,15,8,127,94,71,64,52,5,116,9,38,4,122,10,74,36,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,1440,15,4,32,60,10,135,124,4,90,17,72,15,8,126,95,72,67,53,5,114,9,37,4,123,10,75,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,1466,15,4,32,62,10,134,124,4,91,17,78,15,8,132,100,74,71,55,5,114,9,36,3,122,10,76,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,1488,15,4,36,61,10,140,127,4,90,17,75,15,8,134,105,74,72,57,5,116,9,30,3,127,11,77,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,1517,15,4,36,61,10,143,129,4,97,17,73,15,9,138,109,76,74,59,5,124,9,28,3,125,11,77,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,1553,15,4,42,61,10,146,130,4,95,17,78,15,9,143,106,77,81,66,5,127,9,28,3,128,11,77,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,1602,15,4,48,62,10,149,134,4,105,17,81,16,9,155,106,77,84,64,5,133,9,28,3,130,11,77,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,1621,15,4,54,63,10,148,135,4,104,17,83,17,9,158,109,77,86,62,5,135,9,28,3,131,11,78,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,1616,15,4,53,63,10,147,135,4,104,17,81,17,9,157,109,79,86,62,5,133,9,28,3,131,11,78,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1648,15,4,59,68,10,150,135,4,109,17,80,17,9,161,109,81,88,66,5,133,9,28,3,131,11,80,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,1670,15,4,59,68,10,156,138,4,108,17,78,17,9,164,112,82,91,66,5,137,9,26,3,130,11,84,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,1688,15,4,63,68,10,157,138,4,107,17,76,17,9,164,115,82,94,70,5,136,9,25,3,137,11,85,39,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,1690,15,4,65,68,10,156,138,4,106,17,73,17,9,168,116,83,97,69,5,138,9,22,3,134,11,85,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,1701,15,4,65,69,10,157,142,4,104,17,76,17,10,168,116,83,98,69,5,139,9,21,3,136,11,85,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,1728,15,4,67,69,10,157,141,4,103,17,90,16,10,170,118,83,101,69,5,143,9,22,2,138,11,86,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2600,1744,15,4,69,68,10,157,147,4,103,17,88,15,10,173,120,86,107,71,5,139,9,20,2,139,11,87,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700,1767,14,4,69,69,10,159,149,4,106,17,87,15,10,175,123,86,107,74,5,139,9,20,2,146,11,89,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800,1789,14,4,69,70,10,161,148,3,106,17,89,14,11,182,124,87,106,80,5,143,9,17,2,148,11,91,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,1797,14,4,70,71,10,161,152,3,106,17,86,15,11,182,126,89,106,80,5,144,9,14,2,150,11,91,41,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,1798,14,4,77,70,10,160,153,3,105,17,83,15,11,180,125,91,107,81,5,145,9,10,2,150,11,91,42,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100,1801,14,4,77,71,10,160,152,3,102,17,82,14,12,178,124,91,112,85,5,144,9,10,2,149,11,91,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3200,1822,13,4,80,71,10,157,152,3,102,17,87,14,12,185,127,91,112,86,5,145,9,8,2,153,11,93,47,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,1819,13,4,81,73,10,158,154,4,99,15,85,14,12,185,125,92,112,88,5,144,9,8,2,152,11,93,45,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400,1844,11,4,81,73,10,158,158,4,97,15,89,14,12,190,127,93,115,94,5,144,9,8,2,156,11,94,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,1885,8,4,81,77,10,164,160,4,110,15,87,13,13,199,132,94,118,96,5,146,9,8,3,155,11,95,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,1891,6,4,81,75,10,163,161,4,110,14,87,13,13,206,135,94,121,96,5,146,9,8,3,154,11,95,44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3700,1915,5,4,97,76,10,163,162,4,109,14,86,12,13,206,135,95,123,98,5,148,9,7,3,157,11,95,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,1934,5,4,99,82,10,163,160,4,108,12,89,11,13,204,138,96,128,101,5,149,9,7,3,157,11,98,45,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,1938,3,4,99,82,10,165,162,4,109,12,86,11,14,207,138,96,128,102,5,148,9,7,2,158,11,100,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,1949,3,4,99,84,10,166,164,4,114,11,82,11,14,209,137,98,128,103,5,149,9,5,2,163,11,101,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100,1976,3,4,99,86,10,168,166,4,113,10,87,10,14,206,139,99,133,108,5,155,9,5,2,166,11,101,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4200,1987,3,4,99,86,10,170,168,4,112,10,94,9,14,205,142,99,132,110,5,154,9,5,2,166,11,101,45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
